  8979.000   29  1  1     0.00000   -10.91368    -6.90610  1  1     8837.733  0.016794230     0.00000 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_Fermi, ninitl, ninit1, Epsii, Atom_density, f0_forward
    Energy    left_pol      right_pol       dic(100)   
     3.600  6.1894630E-02  6.0007221E-02  1.8874098E-03
     3.700  5.4664432E-02  5.3506587E-02  1.1578450E-03
     3.800  5.2508439E-02  5.1929235E-02  5.7920435E-04
     3.900  5.4222841E-02  5.4393933E-02 -1.7109178E-04
     4.000  6.0245320E-02  6.1482928E-02 -1.2376071E-03
     4.100  7.1519429E-02  7.4151434E-02 -2.6320045E-03
     4.200  8.6220434E-02  9.0383372E-02 -4.1629383E-03
     4.300  9.8102911E-02  1.0330304E-01 -5.2001275E-03
     4.400  1.0557635E-01  1.1102142E-01 -5.4450668E-03
     4.500  1.1537390E-01  1.2074868E-01 -5.3747768E-03
     4.600  1.3191718E-01  1.3732152E-01 -5.4043417E-03
     4.700  1.5161130E-01  1.5732303E-01 -5.7117225E-03
     4.800  1.6829292E-01  1.7460629E-01 -6.3133696E-03
     4.900  1.8439073E-01  1.9117320E-01 -6.7824719E-03
     5.000  2.0185919E-01  2.0834647E-01 -6.4872772E-03
     5.500  1.8146863E-01  1.8389479E-01 -2.4261560E-03
     6.000  2.0975235E-01  2.1204363E-01 -2.2912848E-03
     6.500  1.7738960E-01  1.7600097E-01  1.3886345E-03
     7.000  1.6193733E-01  1.6145319E-01  4.8414553E-04
     7.500  2.1163252E-01  2.1155602E-01  7.6496793E-05
     8.000  2.4393883E-01  2.3878067E-01  5.1581510E-03
     8.500  2.4990149E-01  2.4543772E-01  4.4637698E-03
     9.000  2.0360308E-01  2.0069564E-01  2.9074387E-03
     9.500  1.7992524E-01  1.7770569E-01  2.2195434E-03
